識別子	名称	リレーション用	レベル	HP現在	HP最大	SP現在	SP最大	MP現在	MP最大	物攻	物防	速度	魔攻	魔治	魔防	完全耐性	斬撃耐性	打撃耐性	突撃耐性	炎熱耐性	氷結耐性	感電耐性	特殊耐性	遅延	範囲	射程	攻撃属性	攻撃演出	行動パターン	画像	経験値	ゴールド最小	ゴールド最大	ゴールド確率	素材1種別	素材1確率	素材1条件	素材2種別	素材2確率	素材2条件	素材3種別	素材3確率	素材3条件	盗み1種別	盗1確率	盗み1条件	盗み2種別	盗2確率	盗み2条件	盗み3種別	盗3確率	盗み3条件
id	name	#id_name	level	hp_now	hp_max	sp_now	sp_max	mp_now	mp_max	p_attack	p_defense	speed	m_attack	m_resilience	m_defense	regist[0]	regist[1]	regist[2]	regist[3]	regist[4]	regist[5]	regist[6]	regist[7]	weapon_late_ratio	weapon_width	weapon_range	weapon_element	weapon_effect_id	action_pattern_id	image	experience	gold_min	gold_max	gold_rate	drop1_item_id	drop1_item_rate	drop1_item_condition	drop2_item_id	drop2_item_rate	drop2_item_condition	drop3_item_id	drop3_item_rate	drop3_item_condition	steal1_item_id	steal1_item_rate	steal1_item_condition	steal2_item_id	steal2_item_rate	steal2_item_condition	steal3_item_id	steal3_item_rate	steal3_item_condition
long	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	float	int	int	int	long	long	string	int	int	int	float	long	float	int	long	float	int	long	float	int	long	float	int	long	float	int	long	float	int
0	なし	|0|なし	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	|0|不明		0	0	0	0	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし
1	ボールモンスター	|1|ボールモンスター	10	78	78	68	68	2	2	64	28	18	2	1	5	0	0	0	0	0	0	0	0	1	1	1	1	1	|1|攻撃のみ	BallMonster	100	0	5	10	|300003|乾いた骨片	100	|0|なし	|300003|乾いた骨片	100	|2101|弱点属性で攻撃	|300002|コウモリの羽	1	|0|なし	|300002|コウモリの羽	1	|0|なし	|300002|コウモリの羽	1	|0|なし	|300002|コウモリの羽	1	|0|なし
2	ビシッョプ	|2|ビシッョプ	13	64	64	24	24	120	120	32	24	12	47	43	8	0	0	0	0	0	0	0	0	1	1	1	2	2	|1|攻撃のみ	Bishop	100	160	320	80	|300002|コウモリの羽	100	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし
3	ブロッブ	|3|ブロッブ	16	120	120	88	88	0	0	54	67	8	1	1	16	0	0	0	0	0	0	0	0	1	1	1	2	2	|1|攻撃のみ	Blob	100	0	30	20	|300001|スライムの粘液	100	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし
4	デーモン	|4|デーモン	26	230	230	180	180	210	210	148	128	18	160	98	48	0	0	0	0	0	0	0	0	1	1	1	2	2	|1|攻撃のみ	Demon	100	750	800	40	|300002|コウモリの羽	100	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし
5	ドレーク	|5|ドレーク	17	160	160	78	78	0	0	88	54	19	6	3	2	0	0	0	0	0	0	0	0	1	1	1	1	1	|1|攻撃のみ	Drake	100	0	10	5	|300003|乾いた骨片	100	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし
6	ドライアド	|6|ドライアド	18	130	130	89	89	77	77	64	98	11	56	48	13	0	0	0	0	0	0	0	0	1	1	1	2	2	|1|攻撃のみ	Dryad	100	12	32	12	|300002|コウモリの羽	100	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし
7	ドワーフ	|7|ドワーフ	15	96	96	148	148	12	12	86	102	10	12	18	2	0	0	0	0	0	0	0	0	1	1	1	1	1	|1|攻撃のみ	Dwarf	100	640	950	88	|300002|コウモリの羽	100	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし	|0|なし	0	|0|なし
