識別子	名称(使わない)	リレーション	部位	使用可能クラス	アイテムレベル	HP	SP	MP	物攻	物防	速度	魔攻	魔治	魔防	遅延	範囲	射程	攻撃属性	攻撃演出	耐性(全)	耐性(斬)	耐性(打)	耐性(突)	耐性(炎)	耐性(氷)	耐性(雷)	耐性(特)
id	name	#id_name	part	usable	item_level	hp	sp	mp	p_attack	p_defense	speed	m_attack	m_resilience	m_defense	late_ratio	width	range	elemnt	effect_id	regist[0]	regist[1]	regist[2]	regist[3]	regist[4]	regist[5]	regist[6]	regist[7]
long	string	string	int	int	int	int	int	int	int	int	int	int	int	int	float	int	int	int	long	int	int	int	int	int	int	int	int
0	なし	|0|なし	|0|主武器	0xFFFF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200200	ダガー	|200200|ダガー	|0|主武器	0xFFFF	1	0	0	0	3	0	0	0	0	0	1.05	1	1	1	1	0	0	0	0	0	0	0	0
200000	ロングソード	|200000|ロングソード	|0|主武器	0xFFFF	1	0	0	0	6	0	0	0	0	0	1.2	1	1	1	1	0	0	0	0	0	0	0	0
200500	ウォーハンマー	|200500|ウォーハンマー	|0|主武器	0xFFFF	1	0	0	0	8	0	0	0	0	0	1.8	1	1	2	2	0	0	0	0	0	0	0	0
200900	ショートボウ	|200900|ショートボウ	|0|主武器	0xFFFF	1	0	0	0	9	0	0	0	0	0	1.5	1	2	3	3	0	0	0	0	0	0	0	0
201200	スタッフ	|201200|スタッフ	|0|主武器	0b0000000000001000	1	0	0	0	1	0	0	8	0	0	1.35	1	1	2	2	0	0	0	0	0	0	0	0
210100	バックラー	|210100|バックラー	|1|補武器	0xFFFF	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210000	鉄の盾	|210000|鉄の盾	|1|補武器	0xFFFF	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220200	ローブ	|220200|ローブ	|2|体	0xFFFF	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220000	鎖帷子	|220000|鎖帷子	|2|体	0xFFFF	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230100	革の帽子	|230100|革の帽子	|3|頭	0xFFFF	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230000	鉄の兜	|230000|鉄の兜	|3|頭	0xFFFF	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240100	革の手袋	|240100|革の手袋	|4|手	0xFFFF	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240000	鉄の小手	|240000|鉄の小手	|4|手	0xFFFF	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250100	革の靴	|250100|革の靴	|5|足	0xFFFF	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250101	ブーツ	|250101|ブーツ	|5|足	0xFFFF	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260000	ベルト	|260000|ベルト	|6|アクセ	0xFFFF	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260100	マント	|260100|マント	|6|アクセ	0xFFFF	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210500	タリスマン	|210500|タリスマン	|6|アクセ	0xFFFF	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
210501	アミュレット	|210501|アミュレット	|6|アクセ	0xFFFF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200005	ドラゴンスレイヤー＋１	|200005|ドラゴンスレイヤー＋１	|0|主武器	0b0000000001110001	1	20	0	0	36	0	0	0	0	0	1.2	1	1	1	1	0	0	0	0	0	0	0	0
201109	ホーリーロッド	|201109|ホーリーロッド	|0|主武器	0b0000000000000100	1	0	0	0	2	0	0	0	18	0	1.15	1	1	2	0	0	0	0	0	0	0	0	0
270000	力の魔石	|270000|力の魔石	|7|魔石	0xFFFF	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270001	守りの魔石	|270001|守りの魔石	|7|魔石	0xFFFF	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
