識別子	クラス値	クラス名	HP	SP	MP	物攻	物防	速度	魔攻	魔治	魔防	罠知識					
id	type	name	hp	sp	mp	p_attack	p_defense	speed	m_attack	m_resilience	m_defense	trap_knowledge					
long	int	string	int	int	int	int	int	int	int	int	int	int					
1	0	ウォーリアー	32	25	3	8	9	10	1	2	0	1				60	30
2	1	スカウト	26	27	7	7	6	12	3	2	0	18				60	30
3	2	クレリック	24	14	22	4	5	9	2	10	0	2				60	30
4	3	ウィザード	21	10	29	2	3	10	12	3	0	2				60	30
5	4	レンジャー	32	25	3	9	8	11	1	1	0	15				60	30
6	5	パラディン	24	27	9	7	10	8	2	3	0	2				60	30
7	6	ウォーロック	29	13	18	6	5	9	8	2	0	3				60	30
8	7	ミンストレル	23	13	24	3	2	7	10	8	0	12				60	30
9	8	トリックスター	25	10	25	6	5	9	8	2	0	12				60	30
10	9	サモナー	21	7	32	3	2	4	15	6	0	1				60	30
